name,roomname,homepage,location,maxprice,minprice,price,people,ranking,time,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy
글램파크 글램핑 카라반,VIP 테라스 카라반(밸리뷰),http://www.glampark.co.kr,경기 포천시 이동면 화동로 1925-47 글램파크캠핑장,"339,000원","149,000원",,기준 2인 (최대 4인),"별점
4.93","영업시간
입실 15:00퇴실 11:00",1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,18,61,48,0,19,49,98,0,0,19,0,0,88,37,63,6,11,11,15,19,0,0,63,0,81,0,3,1,93,53,6,0
글램파크 글램핑 카라반,VIP 테라스 카라반(가든뷰),http://www.glampark.co.kr,경기 포천시 이동면 화동로 1925-47 글램파크캠핑장,"239,000원","149,000원",,기준 2인 (최대 4인),"별점
4.93","영업시간
입실 15:00퇴실 11:00",1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,36,115,71,0,20,73,185,0,0,25,0,0,157,40,91,13,29,9,15,39,0,0,119,0,117,1,4,0,125,96,16,0
글램파크 글램핑 카라반,VIP 히노끼 카라반,http://www.glampark.co.kr,경기 포천시 이동면 화동로 1925-47 글램파크캠핑장,"239,000원","149,000원",,기준 2인 (최대 4인),"별점
4.93","영업시간
입실 15:00퇴실 11:00",1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,53,44,0,15,48,101,0,0,22,0,0,89,23,59,3,7,4,12,15,0,0,52,0,52,2,0,0,66,51,6,0
글램파크 글램핑 카라반,히노끼감성뷰 카라반,http://www.glampark.co.kr,경기 포천시 이동면 화동로 1925-47 글램파크캠핑장,"219,000원","129,000원",,기준 2인 (최대 4인),"별점
4.93","영업시간
입실 15:00퇴실 11:00",1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,35,171,107,0,24,123,217,1,0,55,0,0,218,40,129,28,51,2,10,31,0,0,131,0,129,1,6,1,167,147,21,0
글램파크 글램핑 카라반,거실 스퀘어뷰 카라반,http://www.glampark.co.kr,경기 포천시 이동면 화동로 1925-47 글램파크캠핑장,"199,000원","99,000원",,기준 2인 (최대 4인),"별점
4.93","영업시간
입실 15:00퇴실 11:00",1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,35,152,112,0,23,147,233,0,0,53,0,0,202,51,136,19,40,6,17,38,0,0,183,0,116,2,4,0,236,188,24,0
글램파크 글램핑 카라반,침실시네마 카라반,http://www.glampark.co.kr,경기 포천시 이동면 화동로 1925-47 글램파크캠핑장,"199,000원","99,000원",,기준 2인 (최대 4인),"별점
4.93","영업시간
입실 15:00퇴실 11:00",1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,34,154,105,0,24,106,242,0,0,51,0,0,157,36,110,25,46,3,18,25,0,0,160,0,118,0,7,0,190,147,17,0
메이플 글램핑 카라반 1호점,프라이빗 글램핑 A,https://blog.naver.com/qkrtns100,경기 포천시 이동면 화동로 2236-25,"269,000원","99,000원",,"기준 2인 (최대 3인)
2박 이상 예약 시 추가 1박 당 20,000원 할인","별점
4.91","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,30,0,0,11,0,77,0,0,0,0,1,24,0,0,21,64,0,0,24,0,0,62,0,81,46,11,0,37,6,24,0
메이플 글램핑 카라반 1호점,프라이빗 글램핑 B,https://blog.naver.com/qkrtns100,경기 포천시 이동면 화동로 2236-25,"269,000원","79,000원",,"기준 2인 (최대 3인)
2박 이상 예약 시 추가 1박 당 20,000원 할인","별점
4.91","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,37,0,0,15,0,73,0,0,0,0,0,30,0,2,26,93,0,0,19,0,0,78,0,89,51,19,0,32,8,28,0
메이플 글램핑 카라반 1호점,프라이빗 글램핑 C,https://blog.naver.com/qkrtns100,경기 포천시 이동면 화동로 2236-25,"269,000원","79,000원",,"기준 2인 (최대 3인)
2박 이상 예약 시 추가 1박 당 20,000원 할인","별점
4.91","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,39,1,0,16,0,70,0,0,0,0,1,18,0,2,23,76,0,0,26,0,0,69,0,77,51,18,0,31,6,20,0
메이플 글램핑 카라반 1호점,프라이빗 글램핑 D,https://blog.naver.com/qkrtns100,경기 포천시 이동면 화동로 2236-25,"269,000원","79,000원",,"기준 2인 (최대 3인)
2박 이상 예약 시 추가 1박 당 20,000원 할인","별점
4.91","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33,48,0,0,29,0,118,0,0,1,0,1,26,0,0,37,122,0,0,34,0,0,99,0,134,80,19,0,53,11,32,0
