,importance,p99_high,p99_low
name,23512.636450178165,26729.26751522121,20296.00538513512
roomname,11408.984397180318,13148.305347676134,9669.663446684503
info_deck,11368.40889150168,13859.359663320876,8877.458119682484
max_standard,10923.47707228352,13377.736560502335,8469.217584064705
people_stadard,7005.793663472427,8359.439587877547,5652.147739067308
info_caravan,4413.216984215153,5109.398438559247,3717.0355298710606
visitor_clean,3753.812253478421,4626.044804039818,2881.579702917025
info_privatehouse,3249.987918946569,3835.6884512286306,2664.2873866645077
info_bogcheung,3064.308054067482,4117.122682605464,2011.4934255294993
info_ondolroom,2998.282486968224,3861.953504817998,2134.6114691184503
info_spa,2971.3041315892838,3241.4612768833235,2701.146986295244
visitor_bbq,2720.8474198253066,3745.8464763847833,1695.8483632658301
ranking,2444.9368246441427,3263.796205823843,1626.0774434644422
info_pension,2437.3074295752217,3077.25686170672,1797.3579974437234
visitor_sink,2433.275597862849,3141.84328893802,1724.7079067876775
visitor_mannertime,2087.1995836359165,2778.1809749133954,1396.2181923584376
info_glamping,2072.9739975011175,2724.165611686394,1421.7823833158411
visitor_temperature,1869.8080617962187,3226.958058066517,512.6580655259202
info_bathroom,1835.9809601403751,2539.070896670165,1132.8910236105853
visitor_photo,1797.1146176720351,2514.2721791436466,1079.9570562004237
visitor_maintainance,1734.3590945474941,2095.392799786521,1373.3253893084668
visitor_shade,1734.2422090389941,2228.02108075504,1240.463337322948
info_terrace,1668.748388059044,2533.4565888036905,804.0401873143973
visitor_kind,1357.038365948662,1876.8472679419729,837.2294639553512
visitor_hotwater,1312.4749903211844,1784.069945720298,840.8800349220708
visitor_electricity,1218.9669984209074,2370.6258331256095,67.30816371620563
visitor_wide,1204.7101814035661,1664.9875947763223,744.4327680308099
visitor_view,1159.7383195704394,1328.167890174203,991.3087489666758
visitor_parking,1137.2802991675817,1555.0784553513804,719.4821429837831
visitor_bug,1085.9971793220836,1264.0994957286077,907.8948629155595
visitor_bathroom,1040.7347295040472,1237.7037085289585,843.7657504791359
visitor_interior,1010.7569233621758,1249.2275082475874,772.2863384767643
visitor_noise,956.769126804392,2378.8809532871473,-465.3426996783635
visitor_waterplay,942.2814506063369,1205.105165003859,679.4577362088148
info_poolvilla,938.1927995020171,1178.5657086163455,697.8198903876887
visitor_rest,891.7251357676126,1185.3214298705457,598.1288416646795
visitor_child,883.1257525041503,1380.2184244118075,386.03308059649316
visitor_bed,879.1189341550933,1286.7602928007957,471.47757550939076
visitor_publictransport,836.4490366642033,3824.3532088324564,-2151.4551355040503
visitor_pet,711.0847026076026,1524.7710086196466,-102.60160340444156
visitor_facility,596.9046172677208,1647.6810809039396,-453.8718463684979
visitor_entertainment,512.8661159809857,713.0324042885205,312.69982767345084
info_grass,491.89863172292246,851.4671636996593,132.33009974618562
visitor_goodprice,491.1545748321496,906.3152449782697,75.99390468602957
visitor_party,448.3105696635863,706.5770413260935,190.04409800107908
info_unisex,380.97650964377715,593.7113403164797,168.2416789710746
visitor_nearby,346.6831735685115,646.8626611981092,46.50368593891375
info_womenonly,168.9182495682224,434.3824982452328,-96.54599910878801
visitor_concept,40.478927220052356,477.06456566400254,-396.10671122389783
info_menonly,3.7972590553297776,48.03902153229502,-40.44450342163547
